username,game_url,game_index,event_index,opportunity_cp,target_pawns,t_turns_engine,converted_actual,t_turns_actual,opponent_move_ply_index,opponent_move_san,opponent_move_uci,best_reply_san,best_reply_uci,fen_before,fen_after,pv_moves,pv_evals,eval_before,white_player,black_player,player_color,time_control,game_result,end_time
k2f4x,Chess.com,1,4,484,4,37,0,,53,Be7,f6e7,Nxc8,d6c8,2r3k1/5pp1/2rN1b1p/2P5/5P2/4P3/6PP/2R1R1K1 b - - 2 27,2r3k1/4bpp1/2rN3p/2P5/5P2/4P3/6PP/2R1R1K1 w - - 3 28,d6c8|c6c8|c5c6|e7a3|c1c2|g8f8|e1b1|a3d6|b1b7|f8e8|g2g3|d6c7|c2d2|c7d8|g1g2|g7g5|d2d6|h6h5|f4g5|d8g5|g2f3|g5d8|h2h4|d8e7|d6d7|e7d8|d7f7|c8c6|f7h7|d8f6|b7b8|f6d8|h7h8|e8f7|b8d8|c6c5|d8d7,544|543|552|533|540|534|538|542|528|562|551|540|566|563|591|599|583|611|602|581|586|613|598|624|628|653|654|685|636|683|657|647|660|650|666|679|721,552,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,5,240,2,9,0,,85,Ke5,e6e5,Rd7,d3d7,8/2b3r1/2P1kp2/8/2R1P2P/3R3K/8/8 b - - 12 43,8/2b3r1/2P2p2/4k3/2R1P2P/3R3K/8/8 w - - 13 44,d3d7|g7d7|c6d7|c7d8|c4c8|f6f5|c8d8|e5d6|e4f5,639|723|919|792|932|1034|1417|1211|10000,621,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,6,668,6,5,1,15,89,Rxd7,g7d7,cxd7,c6d7,8/2bR2r1/2P1kp2/8/2R1P2P/7K/8/8 b - - 16 45,8/2br4/2P1kp2/8/2R1P2P/7K/8/8 w - - 0 46,c6d7|e6d7|c4c7|d7e6|c7c5,687|1255|1069|1063|10000,699,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,7,418,4,9,0,,91,Kxd7,e6d7,Rxc7+,c4c7,8/2bP4/4kp2/8/2R1P2P/7K/8/8 b - - 0 46,8/2bk4/5p2/8/2R1P2P/7K/8/8 w - - 0 47,c4c7|d7d6|c7c4|d6e5|h3g4|f6f5|e4f5|e5d6|g4h5,1163|1148|10000|1043|1314|1432|10000|1420|10000,1071,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,1,8,110,1,9,1,11,93,Be5,c7e5,Kg4,h3g4,8/2bk4/5p2/7P/2R1P3/7K/8/8 b - - 0 47,8/3k4/5p2/4b2P/2R1P3/7K/8/8 w - - 1 48,h3g4|d7e6|h5h6|e5b2|h6h7|f6f5|e4f5|e6e7|g4g5,781|794|819|966|977|909|923|1183|1094,734,k2f4x,Dudulica,white,180,1-0,2026.01.10 16:35:00
k2f4x,Chess.com,2,0,175,1,9,1,19,32,b4,b2b4,f5,f6f5,rn1q1rk1/1b2n1b1/p2p1p1p/Pp1Pp1p1/4P3/4BN2/NP2BPPP/R2Q1RK1 w - - 0 17,rn1q1rk1/1b2n1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/R2Q1RK1 b - - 0 17,f6f5|e3b6|d8e8|a1c1|b8d7|f3g5|h6g5|e2h5|f8f7,32|46|81|42|81|10|90|11|94,24,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
k2f4x,Chess.com,2,1,129,1,9,1,17,34,Rc1,a1c1,f5,f6f5,r2q1rk1/1b1nn1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/R2Q1RK1 w - - 1 18,r2q1rk1/1b1nn1b1/p2p1p1p/Pp1Pp1p1/1P2P3/4BN2/N3BPPP/2RQ1RK1 b - - 2 18,f6f5|f3d2|f5f4|e3b6|d7b6|a5b6|d8b6|e2g4|g8h8,-16|-10|-9|-10|-15|-18|-31|-17|-28,-15,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
k2f4x,Chess.com,2,2,114,1,5,1,3,42,hxg5,h4g5,Rxc1+,c8c1,1qr3k1/1b1nn1b1/p2p1p1p/Pp1Pp1p1/1P2P2P/3QBN2/N3BPP1/2R3K1 w - - 1 22,1qr3k1/1b1nn1b1/p2p1p1p/Pp1Pp1P1/1P2P3/3QBN2/N3BPP1/2R3K1 b - - 0 22,c8c1|e3c1|f6g5|f3h2|g8f8,86|81|108|95|132,97,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
k2f4x,Chess.com,2,3,201,2,3,1,3,48,Bxg5,c1g5,fxg5,f6g5,1q6/1b1nnkb1/p2p1p2/Pp1Pp1p1/1P2P3/3Q1N2/N3BPP1/2B3K1 w - - 1 25,1q6/1b1nnkb1/p2p1p2/Pp1Pp1B1/1P2P3/3Q1N2/N3BPP1/6K1 b - - 0 25,f6g5|f3g5|f7g8,28|35|28,41,Hayden069420,k2f4x,black,180,1-0,2026.01.10 16:43:46
k2f4x,Chess.com,4,0,152,1,17,1,25,60,Kg2,g1g2,Rf4,f5f4,8/6k1/1p3pp1/p2p1r2/8/1P5P/PB5P/5BK1 w - - 0 31,8/6k1/1p3pp1/p2p1r2/8/1P5P/PB4KP/5B2 b - - 1 31,f5f4|b2c1|f4d4|c1e3|d4d1|f1e2|d1b1|g2f2|b1b2|a2a4|b6b5|e3d4|b2b3|e2b5|b3h3|f2g2|h3b3,35|43|33|19|23|28|28|26|27|20|21|26|24|34|24|28|23,44,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,1,201,2,23,1,13,72,Kg3,f3g3,Rxa2,a1a2,8/6k1/5pp1/1pBp4/pP6/5K1P/P5BP/r7 w - - 1 37,8/6k1/5pp1/1pBp4/pP6/6KP/P5BP/r7 b - - 2 37,a1a2|g2d5|a2d2|d5f3|a4a3|c5e3|d2d3|e3c1|a3a2|c1b2|d3b3|b2a1|b3b1|a1c3|b1b3|c3a1|b3b4|f3d5|b4b1|a1f6|g7f6|d5a2|b1d1,-521|-515|-507|-613|-574|-579|-534|-558|-586|-580|-569|-559|-557|-573|-563|-547|-567|-573|-597|-564|-579|-570|-557,-476,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,2,216,2,11,1,7,78,Bc6,d5c6,a3,a4a3,8/6k1/5pp1/1pBB4/pP4K1/3r3P/7P/8 w - - 3 40,8/6k1/2B2pp1/1pB5/pP4K1/3r3P/7P/8 b - - 4 40,a4a3|c6b5|d3c3|c5d4|c3b3|d4a1|b3b4|g4f3|b4b5|f3e3|a3a2,-565|-585|-640|-610|-610|-634|-612|-628|-642|-688|-669,-625,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,3,124,1,9,1,9,94,Kg3,f2g3,g5,g6g5,8/6k1/3B1pp1/8/1P6/5B2/2q2K1P/8 w - - 4 48,8/6k1/3B1pp1/8/1P6/5BK1/2q4P/8 b - - 5 48,g6g5|d6c5|f6f5|h2h4|g5g4|f3g4|f5g4|g3f4|c2c4,-434|-434|-488|-504|-562|-579|-575|-585|-588,-447,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,4,234,2,19,0,,96,b5,b4b5,g5,g6g5,8/6k1/3B2p1/5p2/1P6/5BK1/2q4P/8 w - - 0 49,8/6k1/3B2p1/1P3p2/8/5BK1/2q4P/8 b - - 0 49,g6g5|d6e5|g7g6|e5b8|c2c8|b8d6|c8c3|h2h3|c3d4|d6b8|d4g1|f3g2|f5f4|b8f4|g5f4|g3f4|g1g2|f4e5|g2g5,-517|-550|-575|-576|-597|-632|-636|-634|-653|-890|-815|-660|-673|-682|-654|-648|-736|-966|-698,-507,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
k2f4x,Chess.com,4,5,128,1,35,0,,104,Bg5,f4g5,Qb6,b3b6,8/5k2/6p1/5p2/5B1P/1q3BK1/8/8 w - - 2 53,8/5k2/6p1/5pB1/7P/1q3BK1/8/8 b - - 3 53,b3b6|f3d5|f7g7|d5g2|b6g1|g3f3|g1d4|f3g3|d4g4|g3f2|f5f4|g2f1|g4g3|f2e2|f4f3|e2d1|g3g1|d1e1|g1g3|e1d1|g3g1|d1e1|g1g3|e1d1|g3f2|f1d3|f2g1|d1c2|f3f2|c2c3|f2f1r|d3f1|g1f1|c3d2|f1f3,-484|-405|-453|-426|-486|-453|-412|-501|-552|-520|-516|-604|-565|-533|-608|-564|-606|-545|-653|-531|-565|-491|-537|-530|-536|-566|-544|-533|-536|-555|-539|-628|-527|-683|-662,-396,kubaloc1306,k2f4x,black,180,1-0,2026.01.10 18:54:56
